001    	张三     	男      	89     	87     	90     	88     
002    	李四     	男      	92     	87     	78     	85     
003    	赵六     	男      	74     	88     	91     	84     
005    	李华     	男      	88     	80     	74     	80     
006    	小明     	男      	85     	54     	97     	78     
007    	小刚     	男      	78     	60     	75     	71     
008    	孙无     	男      	76     	69     	68     	71     
009    	赵丽     	女      	75     	88     	81     	81     
010    	陈七     	男      	83     	59     	96     	79     
011    	李华     	女      	90     	73     	75     	79     
012    	钱九     	男      	84     	61     	87     	77     
